Product ID,SKU,Name,Price,Original Price,Discount,Description,Weight (kg),Dimensions (cm),Brand,Warranty (months),Stock (units),Trending,Category_Books,Category_Electronics,Category_Fashion,Category_Home & Kitchen,Category_Sports,Color_Black,Color_Blue,Color_Gray,Color_Green,Color_Red,Color_White,Color_Yellow
P41539,SKU-91256,Look Fashion,0.4453767986865967,0.43818536185054113,5%,Itself represent mean modern two thousand every member right office listen together she road agent recently growth change far.,0.7894736842105263,91x64x40,Nelson LLC,8,0.372,0,False,False,True,False,False,False,False,False,False,False,False,True
P334659,SKU-7827,Both Sports,0.10116103140793838,0.15152074678155616,37%,Send way indicate begin head fall soldier class energy them suggest.,0.2631578947368421,47x59x79,"Smith, Hudson and Scott",11,0.924,0,True,False,False,False,False,False,False,False,True,False,False,False
P583385,SKU-57269,Box Sports,0.5050325668236886,0.5887777606811304,19%,Hair order interesting sound prepare she player seek mean job wife box really design wait week own protect together hour.,0.5789473684210527,80x66x49,"Collins, Lewis and Young",14,0.074,1,True,False,False,False,False,True,False,False,False,False,False,False
P884749,SKU-90998,Fill Fashion,0.35699033189188034,0.361470995537775,8%,Seven commercial side tend small sort see occur bar avoid room together later wall.,0.5578947368421052,78x41x78,Ortiz Inc,11,0.06,1,False,False,False,False,True,False,False,True,False,False,False,False
P542479,SKU-41868,Reason Books,0.49211850675479923,0.7447709904087808,37%,Process article yeah turn personal market group same detail general marriage enough measure difficult fight share write experience.,0.9368421052631579,58x20x50,Long-Smith,6,0.168,1,False,False,True,False,False,False,False,True,False,False,False,False
P768566,SKU-53518,Democrat Books,0.3272617042052515,0.34677642714263734,12%,Stop voice tax guy same relate sit none indicate peace everything reflect life place guy than child oil.,0.9052631578947368,79x97x47,Brown and Sons,16,0.246,1,False,False,False,True,False,False,False,False,False,True,False,False
P767021,SKU-47617,Girl Books,0.5740881825888211,0.8691490998615171,37%,Bad view court that doctor send yet live for enter within skill.,0.16842105263157894,64x20x21,Herrera Ltd,12,0.49,0,False,True,False,False,False,False,False,True,False,False,False,False
P808603,SKU-46071,After Fashion,0.0969064200100866,0.11584859209109093,24%,Government site bring indeed leader head have own offer even point direction number election that something.,0.2421052631578947,65x80x37,Chan-Bryan,23,0.492,1,False,True,False,False,False,False,False,False,True,False,False,False
P457026,SKU-64139,Join Books,0.2100104085070767,0.3113453351797712,36%,Opportunity teach compare affect blue leg real nothing ask want argue population our.,0.5052631578947369,72x42x21,"Brown, Harris and Rice",20,0.55,0,False,True,False,False,False,False,False,False,False,True,False,False
P534214,SKU-85949,Last Sports,0.505204253538356,0.9701236087603221,50%,Attorney participant agent detail strategy mother free product win.,0.15789473684210525,15x70x82,House Inc,11,0.78,0,False,False,False,True,False,True,False,False,False,False,False,False
P843697,SKU-76394,Southern Fashion,0.2004013176955351,0.37925834743806736,49%,Material me adult person candidate nor various travel drive spring second wait economic medical more.,0.8736842105263158,46x93x40,Hernandez-Duffy,12,0.326,0,True,False,False,False,False,False,False,True,False,False,False,False
P119430,SKU-77641,Design Electronics,0.16169132874786735,0.19444017028260757,23%,Early all although wide make happen pressure condition model.,0.631578947368421,100x45x98,Rios and Sons,19,0.624,0,False,False,False,False,True,False,False,False,False,False,False,True
P949482,SKU-58871,Tough Fashion,0.5925284087860677,0.7817715545981433,28%,Dream against light dream pretty with appear by rock consumer always.,0.5684210526315789,70x64x45,Cole Inc,22,0.34800000000000003,0,False,False,True,False,False,False,False,False,False,False,False,True
P911716,SKU-60265,Area Books,0.13915208223793635,0.20917064163717497,37%,Spend art describe job policy fear despite staff particularly radio decade tend speak enjoy six important respond wall best growth.,0.21052631578947367,28x81x82,Parsons-Williams,20,0.522,1,False,True,False,False,False,True,False,False,False,False,False,False
P611837,SKU-71328,Health Fashion,0.6741547111907548,0.9734112940452376,34%,Include over success wonder relationship brother low Democrat level data source writer technology process carry price wall board.,0.5578947368421052,37x72x28,"Gonzalez, House and Hudson",16,0.444,0,False,False,False,True,False,False,False,False,False,False,True,False
P732532,SKU-81343,Social Fashion,0.8204532529267221,0.9372672718879828,17%,Whom program direction despite couple serious key change near whose almost speech control investment travel whose.,0.7157894736842105,42x64x73,"Larsen, Thompson and Gonzales",7,0.468,0,True,False,False,False,False,False,False,False,False,True,False,False
P208623,SKU-55907,Wife Books,0.5960211603875828,0.733671846950813,23%,Relate ground accept still else measure pretty black certain she.,0.10526315789473684,16x93x89,Graves-Miller,10,0.8160000000000001,1,False,False,False,False,True,False,False,True,False,False,False,False
P123574,SKU-50424,After Sports,0.7483984848647433,0.8988357183156382,21%,Similar give concern commercial material others stuff worker prevent low week.,0.8210526315789475,73x54x21,"Chavez, Francis and Becker",18,0.726,0,True,False,False,False,False,False,False,False,False,True,False,False
P850731,SKU-94461,Through Fashion,0.6080016739454681,0.6294199107555009,9%,Concern talk attention leave start ok keep skin image parent house bank size good western left fire space claim.,0.2736842105263158,84x95x15,Wood Ltd,8,0.248,1,False,False,False,False,True,False,False,False,False,False,True,False
P806479,SKU-45066,Consider Books,0.36002704065756014,0.3689182951223265,9%,Study rate draw space site red window big message mind policy add pass friend decade spend college land.,0.021052631578947364,78x14x48,Hess Ltd,22,0.8160000000000001,0,False,True,False,False,False,False,False,False,False,False,False,True
P526157,SKU-69348,Audience Electronics,0.2924468575966006,0.40112837872493207,31%,Car have want sell record pressure investment affect meet issue assume American hit.,0.9263157894736842,10x27x43,Lopez and Sons,22,0.848,1,False,False,False,False,True,False,False,False,True,False,False,False
P91989,SKU-20416,Agreement Electronics,0.8381638105866321,0.9345232599887162,15%,Theory administration reduce strong enjoy six early left stand source discuss.,0.08421052631578949,70x32x22,"Ho, Doyle and Mendoza",18,0.612,1,True,False,False,False,False,False,False,False,False,False,True,False
P289026,SKU-87458,Build Electronics,0.4272692154990182,0.7171154536595373,43%,Together task area hundred himself seven over medical school news shake their second enough.,0.7578947368421052,31x37x20,Turner-Braun,14,0.728,1,False,True,False,False,False,True,False,False,False,False,False,False
P86608,SKU-29586,Mind Fashion,0.43296170313220955,0.49726624608914194,18%,Professional sound turn effort three prepare those cell themselves consumer nor indicate wrong many.,0.28421052631578947,70x84x81,Alvarez Inc,20,0.146,0,False,False,False,True,False,False,False,False,False,False,True,False
P940415,SKU-36786,Every Books,0.3065734550878285,0.5447145714725342,46%,Whom hit find world perhaps ago player discuss member of other early.,0.3789473684210526,86x83x25,Willis Inc,13,0.718,1,False,False,False,True,False,False,False,False,False,True,False,False
P914786,SKU-30328,Few Sports,0.25793246273861775,0.46774888444376056,47%,Accept if article board present happen listen ever however wear part baby American minute president.,0.42105263157894735,17x17x61,"Chandler, Mullins and Diaz",9,0.07200000000000001,1,False,False,False,True,False,False,False,False,True,False,False,False
P432910,SKU-87377,Politics Home,0.047745002307040235,0.08059701492537313,43%,Success capital bed office worker wall opportunity have able cut require evening address account blood.,0.19999999999999996,72x17x26,"Davidson, Goodman and Hoover",9,0.51,0,False,False,False,True,False,False,False,False,True,False,False,False
P414587,SKU-63935,Resource Home,0.637338641314262,0.7355285428527465,18%,Positive choice out weight represent hundred movement seem few three well community pass.,0.6000000000000001,66x53x16,"Spencer, Peterson and Ward",9,0.422,0,False,True,False,False,False,False,False,False,False,False,False,True
P667667,SKU-46627,Writer Electronics,0.4398023456697392,0.5052367030825254,18%,Three new car forget only become situation wife career thought despite support season.,0.48421052631578937,63x81x23,Lopez-Graham,12,0.222,1,True,False,False,False,False,False,False,True,False,False,False,False
P332231,SKU-21641,Mother Electronics,0.23091326601783396,0.4190080525209006,47%,Owner strong military child late expect western realize say agree race.,0.663157894736842,54x33x49,"Acosta, King and Carpenter",24,0.228,0,True,False,False,False,False,False,True,False,False,False,False,False
P196492,SKU-48031,Believe Books,0.8353202493749532,0.8986972354721239,12%,Quickly young citizen whole dream above reason day security thousand suggest cell.,0.04210526315789474,31x70x51,Lewis-Haley,10,0.136,1,False,False,False,False,True,False,True,False,False,False,False,False
P429212,SKU-10939,Choose Electronics,0.41592179670146906,0.7527158024311432,47%,Reason them necessary though important message market you help step alone true perform rather.,0.5157894736842106,74x73x66,"Greene, Diaz and Jacobson",14,0.444,1,False,False,True,False,False,False,False,False,True,False,False,False
P599719,SKU-33612,Tax Electronics,0.41296020087345614,0.4295276196337898,10%,Single possible hundred argue performance subject gas let soldier industry wide actually.,0.8526315789473684,91x11x53,Thomas LLC,16,0.028,1,True,False,False,False,False,False,False,False,False,True,False,False
P446550,SKU-46780,Certainly Books,0.7507162555127532,0.8067907883264092,12%,Western head far person new wear culture individual stuff call move.,0.5157894736842106,50x100x94,"Cain, Perkins and Jensen",24,0.5760000000000001,1,False,True,False,False,False,False,False,False,False,True,False,False
P249795,SKU-73705,Probably Books,0.04183790628051463,0.043832384469405544,21%,Wait treatment whatever hit PM each avoid modern type subject big war poor board laugh serious build finish black sport successful.,0.7052631578947368,35x39x32,Carter-Hamilton,7,0.498,0,False,False,True,False,False,False,False,True,False,False,False,False
P79315,SKU-11077,Popular Home,0.13329327309991096,0.1900087192901472,34%,Church system take level message several possible another customer let study rather beat seem certainly gun hospital.,0.8631578947368419,94x14x80,Hahn-Herrera,19,0.058,0,False,False,False,True,False,False,False,True,False,False,False,False
P694552,SKU-94036,Table Books,0.055948408142242445,0.04630968867005179,5%,Enter success produce physical occur begin as fund wear red realize market road enough and.,0.42105263157894735,28x27x93,Lee-Jones,16,0.582,1,False,True,False,False,False,True,False,False,False,False,False,False
P112388,SKU-78212,Word Fashion,0.07027351839730452,0.0635431091962866,8%,To should maybe night out half machine that figure perhaps force.,0.2526315789473684,75x45x28,Goodwin-Austin,22,0.3,0,False,True,False,False,False,True,False,False,False,False,False,False
P95945,SKU-70172,Three Home,0.37374588220145294,0.3788839308611581,8%,Service southern note main partner strategy attorney employee perhaps little father list today run security drive success well.,0.4421052631578947,13x89x99,"Roberts, Hughes and Davis",24,0.6940000000000001,1,False,False,False,False,True,False,False,True,False,False,False,False
P72880,SKU-43008,Control Books,0.08421233354436493,0.1333846232753757,40%,Partner answer clear beautiful quickly collection once hand democratic market material ready second sea race.,0.010526315789473675,61x15x87,"Brown, Gallegos and Hansen",18,0.28400000000000003,0,False,False,False,True,False,False,False,True,False,False,False,False
P409347,SKU-35825,Huge Books,0.9650349275160153,0.982330614966405,7%,Audience maybe sound for star off environment prove skin surface source growth bit site effect himself price.,0.08421052631578949,81x95x50,"Fisher, Moyer and Roberts",13,0.684,1,False,False,False,False,True,False,False,False,False,True,False,False
P270812,SKU-17434,Oil Electronics,0.5080692755893684,0.9370877570908345,48%,Ok happy across responsibility food surface loss cut military leader modern way today defense.,0.29473684210526313,27x88x85,"Floyd, Wade and Carroll",16,0.244,1,False,False,True,False,False,False,False,True,False,False,False,False
P901795,SKU-6278,Meeting Electronics,0.4333479982402112,0.6054880237985331,32%,Energy forward town skin technology speech let analysis happen door service quickly.,0.8421052631578947,41x91x100,Taylor-Torres,12,0.05,1,False,True,False,False,False,True,False,False,False,False,False,False
P474868,SKU-24330,Chair Home,0.1789243827326087,0.2561009386059393,34%,Appear help wall take figure gas sport between executive cultural our international prevent he.,0.23157894736842105,52x13x88,Miles-Burch,14,0.47200000000000003,0,False,False,False,True,False,False,True,False,False,False,False,False
P836162,SKU-70508,Quickly Sports,0.4357033253570547,0.43328204339129095,6%,Wrong close writer garden term the member society position deep none water position bring into.,0.16842105263157894,96x49x25,Everett Group,19,0.538,1,True,False,False,False,False,True,False,False,False,False,False,False
P755958,SKU-84995,Short Sports,0.6146330732994968,0.9620351849002411,39%,Huge enough whom third behavior first church both turn specific important election more beat.,0.8736842105263158,62x10x67,Wong Inc,9,0.226,1,False,False,False,True,False,False,False,False,False,False,True,False
P389212,SKU-14919,Whether Sports,0.7023810801240437,0.9548648510027183,30%,Really four style task company recent but perform Mrs partner debate build physical decade.,0.7684210526315789,93x58x55,"Velazquez, Dyer and Johnson",9,0.596,1,False,False,False,False,True,True,False,False,False,False,False,False
P903547,SKU-19068,Option Sports,0.3727318575429486,0.4270451864389393,18%,During them recognize safe upon or Republican fast indicate effect worker give responsibility course dinner dream agency friend military.,0.031578947368421054,81x50x89,Green-Shepherd,9,0.5680000000000001,1,True,False,False,False,False,False,True,False,False,False,False,False
P177512,SKU-73573,Writer Sports,0.460308177652828,0.6242755295686516,30%,Politics director ten stock number future study wind size morning.,0.5894736842105261,52x86x63,Bradshaw-Thomas,11,0.582,1,False,False,False,False,True,False,False,False,False,False,False,True
P855048,SKU-1108,Cut Home,0.19481076904917755,0.3611991588449505,48%,Wonder positive Congress firm number now consider run evening lot describe down ball.,0.5157894736842106,17x99x87,Sanchez-Abbott,6,0.322,0,False,False,True,False,False,False,False,False,False,False,False,True
P155313,SKU-6880,Around Home,0.06539117744895002,0.06649228086372262,16%,None black some either ever responsibility discover wonder trial bit decade administration.,0.06315789473684211,100x72x13,"Hammond, Rogers and Gallegos",21,0.538,1,False,True,False,False,False,False,False,True,False,False,False,False
P303650,SKU-88050,Successful Home,0.35975341495605895,0.5825409037287788,41%,Along general admit also although ok either rise consider day statement professional return smile wide experience international region pressure.,0.48421052631578937,81x88x27,Schultz LLC,8,0.99,0,False,False,False,True,False,False,False,True,False,False,False,False
P247757,SKU-18188,Fly Home,0.2634157071883082,0.4776375852695286,47%,Service boy Democrat trip more ok short important under type organization modern magazine share fill only black none base.,0.9473684210526316,96x99x81,"Velazquez, Smith and Davidson",17,0.06,1,True,False,False,False,False,False,False,False,False,False,False,True
P494792,SKU-41115,Value Home,0.48630798450527407,0.8016156331743345,42%,Front boy camera decision ball radio increase citizen land.,0.3684210526315789,27x21x21,Lee-Hamilton,7,0.584,0,False,False,False,True,False,False,False,False,False,True,False,False
P587725,SKU-32654,Republican Electronics,0.44899295011427903,0.4678001743858029,10%,Must father someone full any project plan officer benefit that start its glass.,0.9263157894736842,51x44x78,Monroe-Flowers,23,0.04,1,True,False,False,False,False,True,False,False,False,False,False,False
P122217,SKU-87559,Process Books,0.03753500799416266,0.03407703749294763,15%,Sing check three nothing professional herself table easy population clear note.,0.42105263157894735,31x23x96,Harrison Ltd,7,0.496,1,True,False,False,False,False,False,True,False,False,False,False,False
P549729,SKU-84467,Really Home,0.02279677658193212,0.04233984715597271,46%,Age role billion morning authority cell water tough director eye president animal shoulder board out.,0.16842105263157894,54x43x64,"Smith, Gonzalez and Allen",23,0.084,1,False,False,True,False,False,False,False,False,False,True,False,False
P572739,SKU-89237,Yard Sports,0.3298316397154293,0.3770323639534287,18%,Establish program personal event capital on think training citizen story rule pay little.,0.9578947368421051,30x34x13,Norton-Collins,7,0.714,0,True,False,False,False,False,False,False,False,True,False,False,False
P62343,SKU-11107,This Books,0.7537261382292663,0.929466071703339,23%,Check partner event head technology where film read today tend forward development north experience officer here can case us.,0.1263157894736842,67x18x82,"Moore, Turner and Conner",10,0.34400000000000003,0,False,False,False,False,True,False,False,False,False,False,True,False
P797241,SKU-29442,Play Fashion,0.322470571824064,0.42320356977996615,28%,Nothing plan deal citizen bit story lay improve in.,0.7263157894736842,47x16x79,"Rodriguez, Hamilton and Long",15,0.124,0,True,False,False,False,False,True,False,False,False,False,False,False
P741281,SKU-20345,Why Fashion,0.16291459658987267,0.2903985228496691,46%,Once look movement across business rich rise carry best single establish memory much social author kid rest.,0.21052631578947367,10x34x53,Obrien-Phillips,12,0.982,0,True,False,False,False,False,False,False,False,False,False,True,False
P362952,SKU-24927,Hit Fashion,0.8845514148058332,0.9096578960865773,8%,Word several forget bit answer value difference western similar.,0.9052631578947368,31x20x42,"Walker, Graves and Walls",21,0.936,0,False,True,False,False,False,False,True,False,False,False,False,False
P817674,SKU-28470,Agreement Books,0.11059843550481262,0.11624865363902138,15%,Range leg improve not difference such together ever go today drug so rest same.,0.15789473684210525,40x33x78,"Garcia, Nguyen and Farley",7,0.538,0,False,True,False,False,False,False,True,False,False,False,False,False
P432805,SKU-8092,Fly Sports,0.27463436094985677,0.32114684310406727,20%,Animal ready chance capital miss analysis us assume ago beat many partner sure song arrive fast human often top score.,0.08421052631578949,86x36x79,Hayes-Brennan,24,0.79,1,False,False,False,True,False,False,False,True,False,False,False,False
P950240,SKU-62952,Forward Fashion,0.7889058191065854,0.9356824126788736,20%,Fear school guess actually enter weight with safe in set north but.,0.3263157894736842,93x89x99,Barber Ltd,13,0.10400000000000001,0,False,False,False,False,True,False,True,False,False,False,False,False
P16217,SKU-69867,Republican Home,0.38425632826499845,0.41368415653690305,13%,Middle successful person statement short prevent join several pay those low create outside.,0.46315789473684216,66x53x97,"Davis, Turner and Harris",6,0.89,1,False,False,False,True,False,False,False,False,True,False,False,False
P808463,SKU-48300,Push Home,0.2699237067161697,0.48937785300302605,47%,Do hundred soon news international different town adult author bring campaign business.,0.16842105263157894,52x64x12,"Macdonald, Carpenter and Moore",14,0.334,0,True,False,False,False,False,False,False,False,False,False,False,True
P501397,SKU-98840,Hold Electronics,0.566201324133787,0.8300148740831922,35%,Discover free hot return pressure talk middle tend offer suggest trouble seven.,0.9473684210526316,23x17x14,"Johnson, Everett and Lewis",16,0.622,0,False,False,True,False,False,False,False,False,False,False,False,True
P406960,SKU-35564,May Books,0.27216099921667936,0.309801507924296,18%,Measure discover talk clear identify marriage move control buy wish air drive decision cut thousand.,0.29473684210526313,97x80x96,Miles Group,19,0.934,1,False,False,False,False,True,True,False,False,False,False,False,False
P40649,SKU-49028,Little Sports,0.08419087270503149,0.09822023901112992,23%,Nation happen road others process month arm difficult new we affect explain likely respond focus box chance provide.,1.0,56x61x76,"Avila, Hall and Estrada",18,0.8300000000000001,1,False,False,False,False,True,False,False,False,True,False,False,False
P290798,SKU-1554,Serve Home,0.27727404418786816,0.28540288249474277,10%,Type heavy break condition time significant exist voice trouble drive.,0.5894736842105261,13x36x55,Lee-Gonzalez,14,0.304,0,True,False,False,False,False,False,False,False,False,True,False,False
P463080,SKU-81621,Worry Fashion,0.5947871621259108,0.6608042262912243,15%,Defense control hotel strong interview total both he because we even describe guy success.,0.9052631578947368,98x51x44,Castillo LLC,15,0.332,1,False,False,False,False,True,False,False,True,False,False,False,False
P193560,SKU-75624,Chair Sports,0.25417681585526813,0.40418525927065696,40%,Blood reduce score to agree which read record citizen cell indeed forget.,0.4947368421052632,33x87x66,Fitzgerald-Henry,11,0.602,1,False,False,False,False,True,False,False,False,True,False,False,False
P992895,SKU-47490,Place Electronics,0.037497451525329156,0.07590398522849669,50%,Nation offer weight myself open history attorney film drive senior miss million.,0.7999999999999998,25x63x86,Davis-Brooks,11,0.006,1,True,False,False,False,False,False,False,False,False,False,True,False
P542790,SKU-70418,Song Books,0.08757095490004614,0.09315279273734421,17%,Those citizen receive back country card yeah game wind play music deep.,0.2526315789473684,76x15x49,Miller LLC,7,0.132,0,False,False,True,False,False,False,False,False,True,False,False,False
P434741,SKU-48367,Move Books,0.33169336752760403,0.5891880802174694,46%,Meet hold prepare manager rest matter understand mother pay build head suddenly civil tough yourself paper.,0.7157894736842105,62x41x49,"Cardenas, Moore and Montgomery",6,0.62,1,False,True,False,False,False,False,False,True,False,False,False,False
P753014,SKU-33920,Enter Sports,0.32208964192589573,0.5951890034364261,48%,Campaign have on away eat sense listen interest exist career blue name by inside chance raise modern.,0.6000000000000001,68x90x72,Gonzalez-Jenkins,6,0.14,1,False,False,False,False,True,False,False,False,False,True,False,False
P53566,SKU-14580,Work Books,0.18211131737362246,0.17538082781966458,6%,Law by piece too third stand owner board allow expert which early minute heavy.,0.9578947368421051,64x77x24,"Yoder, Gomez and Wade",12,0.062,0,False,False,False,False,True,True,False,False,False,False,False,False
P971724,SKU-33335,Store Electronics,0.3156191988668677,0.34249884597630403,14%,Main senior year total school unit compare conference leader.,0.21052631578947367,68x79x97,Scott LLC,10,0.066,0,True,False,False,False,False,False,True,False,False,False,False,False
P29422,SKU-89248,Economic Fashion,0.7477707553142404,0.8035902959429656,12%,Guy rise month at news visit arrive box resource.,0.6947368421052631,33x21x97,Chung-Hughes,13,0.052000000000000005,1,False,True,False,False,False,False,False,False,False,False,True,False
P873726,SKU-24612,Edge Electronics,0.5379910508299981,0.619710724726881,18%,Experience likely check different region bed report per land job white analysis.,0.1263157894736842,15x32x83,Lewis LLC,21,0.012,1,False,False,False,False,True,False,True,False,False,False,False,False
P218963,SKU-59918,Find Books,0.22957732876932818,0.31402267015438273,31%,Benefit move season analysis tend stage may stuff Mrs stuff bar Mrs.,0.3789473684210526,68x47x50,Henderson and Sons,12,0.89,1,False,True,False,False,False,False,False,False,False,False,True,False
P587683,SKU-94553,On Sports,0.6649802023757151,0.7978868543878546,21%,Tough sit mention factor approach thank certainly audience rather sort effort high officer.,0.39999999999999997,16x79x27,"White, Jackson and Robertson",18,0.08600000000000001,1,False,False,False,False,True,False,False,False,False,False,True,False
P906849,SKU-71484,The Home,0.5479757063298746,0.7906498435656767,34%,Civil soon type civil member reality war a letter still enough plan very act a.,0.7052631578947368,82x73x66,Campbell PLC,7,0.994,0,False,False,False,True,False,False,False,False,False,False,False,True
P742692,SKU-30529,Effort Home,0.48488083868960125,0.7104169872288043,35%,Help various experience your prevent ago cut without official how discuss.,0.0,91x99x57,Ross LLC,7,0.918,1,True,False,False,False,False,False,False,False,True,False,False,False
P243089,SKU-89508,Magazine Books,0.5527292822422286,0.6060676001436118,14%,Show least feel seven budget skill kitchen long night method also pretty not when.,0.17894736842105263,52x32x11,Clark PLC,20,0.992,1,False,False,False,False,True,False,False,False,False,False,True,False
P661435,SKU-94132,Score Electronics,0.23367098387217927,0.36499974355028975,39%,Newspaper friend out several peace including since power far each better she partner mean drive describe girl foreign.,0.6210526315789473,41x51x11,Shields-Williams,10,0.248,0,False,False,False,True,False,False,False,False,False,False,False,True
P752221,SKU-89281,Street Sports,0.18992842810082305,0.3131199671744371,42%,Despite like positive popular size development reflect our finally yet term already analysis top piece western foot.,0.10526315789473684,30x41x56,Smith PLC,6,0.268,1,False,True,False,False,False,False,False,False,False,False,False,True
P788265,SKU-95212,Back Home,0.8193480197010505,0.8917730932964045,13%,Wrong focus wall number street remember crime forward fund one decade end least city site either key.,0.631578947368421,12x38x82,Jackson Inc,21,0.966,1,False,False,True,False,False,False,False,False,False,True,False,False
P355605,SKU-93699,Southern Fashion,0.2856115802689043,0.35320818587474995,24%,Kind low nation boy figure skill couple light site order project whose simple far.,0.5684210526315789,54x61x46,Watson Ltd,14,0.338,0,False,False,True,False,False,False,True,False,False,False,False,False
P701861,SKU-55375,Reflect Fashion,0.47674181537239924,0.6467200082063908,30%,According room part lay game agree strong above father product bed three option expert PM land because.,0.9263157894736842,42x73x73,Young Inc,17,0.08,1,False,True,False,False,False,True,False,False,False,False,False,False
P883337,SKU-90726,Including Fashion,0.4906591696801262,0.8875211571010925,47%,Audience his although phone yourself big make alone I it message election edge.,0.6421052631578947,74x94x87,"Jones, Lee and Parker",12,0.326,1,False,False,False,True,False,False,False,False,True,False,False,False
P345341,SKU-67566,Miss Sports,0.6489167641346454,0.7887623736985176,22%,Risk dark three moment no nation summer exactly tend analysis or opportunity forget apply left story.,0.6210526315789473,66x41x90,Martinez Inc,9,0.252,1,False,False,False,True,False,False,False,False,False,True,False,False
P268839,SKU-69450,Type Sports,0.02881654201495821,0.01900805252090065,5%,Letter when reduce help mention sit nothing father traditional age late use still image box toward behavior sea shoulder.,0.23157894736842105,80x74x97,"West, Lopez and Fowler",23,0.638,0,True,False,False,False,False,False,False,False,False,False,True,False
P671804,SKU-44276,Tend Electronics,0.4662367345186871,0.7685336205570088,42%,Summer up clearly much increase the write director learn show news thousand style region decision manage Democrat.,0.9789473684210528,54x13x68,Garcia LLC,8,0.192,1,False,False,False,True,False,False,True,False,False,False,False,False
P711650,SKU-39994,Impact Sports,0.14652388054896825,0.17302661947991999,22%,Firm speak television most he since picture sit offer will religious range gas participant couple city general.,0.10526315789473684,98x74x37,Johnston-Drake,12,0.8220000000000001,0,True,False,False,False,False,False,False,False,False,True,False,False
P416587,SKU-35721,Window Home,0.15143841275632292,0.14418628506949788,6%,Understand art catch less cover tough environmental whom couple.,0.1894736842105263,24x17x19,Rogers-Jackson,21,0.864,1,False,False,True,False,False,False,True,False,False,False,False,False
P906558,SKU-56498,Area Home,0.8815522625089868,0.9065445966046058,8%,Around minute research way impact sister beautiful size instead happen animal quality agreement number unit offer probably hour stage.,0.16842105263157894,98x32x32,"Hudson, Macias and Mcmahon",14,0.774,0,False,False,True,False,False,True,False,False,False,False,False,False
P831092,SKU-60143,East Sports,0.35726395759338153,0.39866133251269426,16%,Pay if Democrat media still radio drop natural thought mean whatever fact range over she song responsibility church he.,0.39999999999999997,72x89x29,Avila-Porter,23,0.792,1,True,False,False,False,False,False,False,False,False,False,True,False
P587045,SKU-95933,Him Fashion,0.04068438616634297,0.03279991793609273,8%,Know baby perform maintain myself walk mind easy while officer support all rock cost blood always religious safe.,0.48421052631578937,48x99x23,"White, Johnson and Hayden",18,0.254,1,True,False,False,False,False,False,False,False,False,True,False,False
