Product ID,SKU,Name,Category,Price,Original Price,Discount,Description,Weight (kg),Dimensions (cm),Brand,Color,Warranty (months),Stock (units),Trending
P911716,SKU-60265,Area Books,Electronics,R$ 288.58,R$ 458.06,37%,Spend art describe job policy fear despite staff particularly radio decade tend speak enjoy six important respond wall best growth.,2.5,28x81x82,Parsons-Williams,Black,20,261,1
P611837,SKU-71328,Health Fashion,Home & Kitchen,R$ 1285.75,R$ 1948.1,34%,Include over success wonder relationship brother low Democrat level data source writer technology process carry price wall board.,5.8,37x72x28,"Gonzalez, House and Hudson",White,16,222,0
P732532,SKU-81343,Social Fashion,Books,R$ 1558.43,R$ 1877.63,17%,Whom program direction despite couple serious key change near whose almost speech control investment travel whose.,7.3,42x64x73,"Larsen, Thompson and Gonzales",Red,7,234,0
P208623,SKU-55907,Wife Books,Sports,R$ 1140.12,R$ 1480.68,23%,Relate ground accept still else measure pretty black certain she.,1.5,16x93x89,Graves-Miller,Gray,10,408,1
P123574,SKU-50424,After Sports,Books,R$ 1424.13,R$ 1802.7,21%,Similar give concern commercial material others stuff worker prevent low week.,8.3,73x54x21,"Chavez, Francis and Becker",Red,18,363,0
P850731,SKU-94461,Through Fashion,Sports,R$ 1162.45,R$ 1277.42,9%,Concern talk attention leave start ok keep skin image parent house bank size good western left fire space claim.,3.1,84x95x15,Wood Ltd,White,8,124,1
P806479,SKU-45066,Consider Books,Electronics,R$ 700.26,R$ 769.52,9%,Study rate draw space site red window big message mind policy add pass friend decade spend college land.,0.7,78x14x48,Hess Ltd,Yellow,22,408,0
P526157,SKU-69348,Audience Electronics,Sports,R$ 574.3,R$ 832.32,31%,Car have want sell record pressure investment affect meet issue assume American hit.,9.3,10x27x43,Lopez and Sons,Green,22,424,1
P91989,SKU-20416,Agreement Electronics,Books,R$ 1591.44,R$ 1872.28,15%,Theory administration reduce strong enjoy six early left stand source discuss.,1.3,70x32x22,"Ho, Doyle and Mendoza",White,18,306,1
P289026,SKU-87458,Build Electronics,Electronics,R$ 825.59,R$ 1448.4,43%,Together task area hundred himself seven over medical school news shake their second enough.,7.7,31x37x20,Turner-Braun,Black,14,364,1
P86608,SKU-29586,Mind Fashion,Home & Kitchen,R$ 836.2,R$ 1019.76,18%,Professional sound turn effort three prepare those cell themselves consumer nor indicate wrong many.,3.2,70x84x81,Alvarez Inc,White,20,73,0
P940415,SKU-36786,Every Books,Home & Kitchen,R$ 600.63,R$ 1112.27,46%,Whom hit find world perhaps ago player discuss member of other early.,4.1,86x83x25,Willis Inc,Red,13,359,1
P914786,SKU-30328,Few Sports,Home & Kitchen,R$ 509.97,R$ 962.21,47%,Accept if article board present happen listen ever however wear part baby American minute president.,4.5,17x17x61,"Chandler, Mullins and Diaz",Green,9,36,1
P432910,SKU-87377,Politics Home,Home & Kitchen,R$ 118.21,R$ 207.38,43%,Success capital bed office worker wall opportunity have able cut require evening address account blood.,2.4,72x17x26,"Davidson, Goodman and Hoover",Green,9,255,0
P414587,SKU-63935,Resource Home,Electronics,R$ 1217.13,R$ 1484.3,18%,Positive choice out weight represent hundred movement seem few three well community pass.,6.2,66x53x16,"Spencer, Peterson and Ward",Yellow,9,211,0
P667667,SKU-46627,Writer Electronics,Books,R$ 848.95,R$ 1035.3,18%,Three new car forget only become situation wife career thought despite support season.,5.1,63x81x23,Lopez-Graham,Gray,12,111,1
P332231,SKU-21641,Mother Electronics,Books,R$ 459.61,R$ 867.18,47%,Owner strong military child late expect western realize say agree race.,6.8,54x33x49,"Acosta, King and Carpenter",Blue,24,114,0
P196492,SKU-48031,Believe Books,Sports,R$ 1586.14,R$ 1802.43,12%,Quickly young citizen whole dream above reason day security thousand suggest cell.,0.9,31x70x51,Lewis-Haley,Blue,10,68,1
P429212,SKU-10939,Choose Electronics,Fashion,R$ 804.44,R$ 1517.81,47%,Reason them necessary though important message market you help step alone true perform rather.,5.4,74x73x66,"Greene, Diaz and Jacobson",Green,14,222,1
P599719,SKU-33612,Tax Electronics,Books,R$ 798.92,R$ 887.69,10%,Single possible hundred argue performance subject gas let soldier industry wide actually.,8.6,91x11x53,Thomas LLC,Red,16,14,1
P446550,SKU-46780,Certainly Books,Electronics,R$ 1428.45,R$ 1623.24,12%,Western head far person new wear culture individual stuff call move.,5.4,50x100x94,"Cain, Perkins and Jensen",Red,24,288,1
P249795,SKU-73705,Probably Books,Fashion,R$ 107.2,R$ 135.7,21%,Wait treatment whatever hit PM each avoid modern type subject big war poor board laugh serious build finish black sport successful.,7.2,35x39x32,Carter-Hamilton,Gray,7,249,0
P79315,SKU-11077,Popular Home,Home & Kitchen,R$ 277.66,R$ 420.7,34%,Church system take level message several possible another customer let study rather beat seem certainly gun hospital.,8.7,94x14x80,Hahn-Herrera,Gray,19,29,0
P694552,SKU-94036,Table Books,Electronics,R$ 133.5,R$ 140.53,5%,Enter success produce physical occur begin as fund wear red realize market road enough and.,4.5,28x27x93,Lee-Jones,Black,16,291,1
P112388,SKU-78212,Word Fashion,Electronics,R$ 160.2,R$ 174.13,8%,To should maybe night out half machine that figure perhaps force.,2.9,75x45x28,Goodwin-Austin,Black,22,150,0
P95945,SKU-70172,Three Home,Sports,R$ 725.83,R$ 788.95,8%,Service southern note main partner strategy attorney employee perhaps little father list today run security drive success well.,4.7,13x89x99,"Roberts, Hughes and Davis",Gray,24,347,1
P72880,SKU-43008,Control Books,Home & Kitchen,R$ 186.18,R$ 310.3,40%,Partner answer clear beautiful quickly collection once hand democratic market material ready second sea race.,0.6,61x15x87,"Brown, Gallegos and Hansen",Gray,18,142,0
P409347,SKU-35825,Huge Books,Sports,R$ 1827.91,R$ 1965.49,7%,Audience maybe sound for star off environment prove skin surface source growth bit site effect himself price.,1.3,81x95x50,"Fisher, Moyer and Roberts",Red,13,342,1
P270812,SKU-17434,Oil Electronics,Fashion,R$ 976.19,R$ 1877.28,48%,Ok happy across responsibility food surface loss cut military leader modern way today defense.,3.3,27x88x85,"Floyd, Wade and Carroll",Gray,16,122,1
P901795,SKU-6278,Meeting Electronics,Electronics,R$ 836.92,R$ 1230.76,32%,Energy forward town skin technology speech let analysis happen door service quickly.,8.5,41x91x100,Taylor-Torres,Black,12,25,1
P474868,SKU-24330,Chair Home,Home & Kitchen,R$ 362.71,R$ 549.56,34%,Appear help wall take figure gas sport between executive cultural our international prevent he.,2.7,52x13x88,Miles-Burch,Blue,14,236,0
P836162,SKU-70508,Quickly Sports,Books,R$ 841.31,R$ 895.01,6%,Wrong close writer garden term the member society position deep none water position bring into.,2.1,96x49x25,Everett Group,Black,19,269,1
P755958,SKU-84995,Short Sports,Home & Kitchen,R$ 1174.81,R$ 1925.92,39%,Huge enough whom third behavior first church both turn specific important election more beat.,8.8,62x10x67,Wong Inc,White,9,113,1
P389212,SKU-14919,Whether Sports,Sports,R$ 1338.36,R$ 1911.94,30%,Really four style task company recent but perform Mrs partner debate build physical decade.,7.8,93x58x55,"Velazquez, Dyer and Johnson",Black,9,298,1
P903547,SKU-19068,Option Sports,Books,R$ 723.94,R$ 882.85,18%,During them recognize safe upon or Republican fast indicate effect worker give responsibility course dinner dream agency friend military.,0.8,81x50x89,Green-Shepherd,Blue,9,284,1
P177512,SKU-73573,Writer Sports,Sports,R$ 887.17,R$ 1267.39,30%,Politics director ten stock number future study wind size morning.,6.1,52x86x63,Bradshaw-Thomas,Yellow,11,291,1
P855048,SKU-1108,Cut Home,Fashion,R$ 392.32,R$ 754.47,48%,Wonder positive Congress firm number now consider run evening lot describe down ball.,5.4,17x99x87,Sanchez-Abbott,Yellow,6,161,0
P155313,SKU-6880,Around Home,Electronics,R$ 151.1,R$ 179.88,16%,None black some either ever responsibility discover wonder trial bit decade administration.,1.1,100x72x13,"Hammond, Rogers and Gallegos",Gray,21,269,1
P303650,SKU-88050,Successful Home,Home & Kitchen,R$ 699.75,R$ 1186.02,41%,Along general admit also although ok either rise consider day statement professional return smile wide experience international region pressure.,5.1,81x88x27,Schultz LLC,Gray,8,495,0
P247757,SKU-18188,Fly Home,Books,R$ 520.19,R$ 981.49,47%,Service boy Democrat trip more ok short important under type organization modern magazine share fill only black none base.,9.5,96x99x81,"Velazquez, Smith and Davidson",Yellow,17,30,1
P494792,SKU-41115,Value Home,Home & Kitchen,R$ 935.63,R$ 1613.15,42%,Front boy camera decision ball radio increase citizen land.,4.0,27x21x21,Lee-Hamilton,Red,7,292,0
P587725,SKU-32654,Republican Electronics,Books,R$ 866.08,R$ 962.31,10%,Must father someone full any project plan officer benefit that start its glass.,9.3,51x44x78,Monroe-Flowers,Black,23,20,1
P122217,SKU-87559,Process Books,Books,R$ 99.18,R$ 116.68,15%,Sing check three nothing professional herself table easy population clear note.,4.5,31x23x96,Harrison Ltd,Blue,7,248,1
P549729,SKU-84467,Really Home,Fashion,R$ 71.71,R$ 132.79,46%,Age role billion morning authority cell water tough director eye president animal shoulder board out.,2.1,54x43x64,"Smith, Gonzalez and Allen",Red,23,42,1
P572739,SKU-89237,Yard Sports,Books,R$ 643.98,R$ 785.34,18%,Establish program personal event capital on think training citizen story rule pay little.,9.6,30x34x13,Norton-Collins,Green,7,357,0
P62343,SKU-11107,This Books,Sports,R$ 1434.06,R$ 1862.42,23%,Check partner event head technology where film read today tend forward development north experience officer here can case us.,1.7,67x18x82,"Moore, Turner and Conner",White,10,172,0
P797241,SKU-29442,Play Fashion,Books,R$ 630.26,R$ 875.36,28%,Nothing plan deal citizen bit story lay improve in.,7.4,47x16x79,"Rodriguez, Hamilton and Long",Black,15,62,0
P741281,SKU-20345,Why Fashion,Books,R$ 332.87,R$ 616.43,46%,Once look movement across business rich rise carry best single establish memory much social author kid rest.,2.5,10x34x53,Obrien-Phillips,White,12,491,0
P362952,SKU-24927,Hit Fashion,Electronics,R$ 1677.9,R$ 1823.8,8%,Word several forget bit answer value difference western similar.,9.1,31x20x42,"Walker, Graves and Walls",Blue,21,468,0
P817674,SKU-28470,Agreement Books,Electronics,R$ 235.36,R$ 276.89,15%,Range leg improve not difference such together ever go today drug so rest same.,2.0,40x33x78,"Garcia, Nguyen and Farley",Blue,7,269,0
P432805,SKU-8092,Fly Sports,Home & Kitchen,R$ 541.1,R$ 676.38,20%,Animal ready chance capital miss analysis us assume ago beat many partner sure song arrive fast human often top score.,1.3,86x36x79,Hayes-Brennan,Gray,24,395,1
P950240,SKU-62952,Forward Fashion,Sports,R$ 1499.63,R$ 1874.54,20%,Fear school guess actually enter weight with safe in set north but.,3.6,93x89x99,Barber Ltd,Blue,13,52,0
P16217,SKU-69867,Republican Home,Home & Kitchen,R$ 745.42,R$ 856.8,13%,Middle successful person statement short prevent join several pay those low create outside.,4.9,66x53x97,"Davis, Turner and Harris",Green,6,445,1
P808463,SKU-48300,Push Home,Books,R$ 532.32,R$ 1004.38,47%,Do hundred soon news international different town adult author bring campaign business.,2.1,52x64x12,"Macdonald, Carpenter and Moore",Yellow,14,167,0
P501397,SKU-98840,Hold Electronics,Fashion,R$ 1084.54,R$ 1668.52,35%,Discover free hot return pressure talk middle tend offer suggest trouble seven.,9.5,23x17x14,"Johnson, Everett and Lewis",Yellow,16,311,0
P406960,SKU-35564,May Books,Sports,R$ 536.49,R$ 654.26,18%,Measure discover talk clear identify marriage move control buy wish air drive decision cut thousand.,3.3,97x80x96,Miles Group,Black,19,467,1
P40649,SKU-49028,Little Sports,Sports,R$ 186.14,R$ 241.74,23%,Nation happen road others process month arm difficult new we affect explain likely respond focus box chance provide.,10.0,56x61x76,"Avila, Hall and Estrada",Green,18,415,1
P290798,SKU-1554,Serve Home,Books,R$ 546.02,R$ 606.69,10%,Type heavy break condition time significant exist voice trouble drive.,6.1,13x36x55,Lee-Gonzalez,Red,14,152,0
P463080,SKU-81621,Worry Fashion,Sports,R$ 1137.82,R$ 1338.61,15%,Defense control hotel strong interview total both he because we even describe guy success.,9.1,98x51x44,Castillo LLC,Gray,15,166,1
P193560,SKU-75624,Chair Sports,Sports,R$ 502.97,R$ 838.28,40%,Blood reduce score to agree which read record citizen cell indeed forget.,5.2,33x87x66,Fitzgerald-Henry,Green,11,301,1
P992895,SKU-47490,Place Electronics,Books,R$ 99.11,R$ 198.23,50%,Nation offer weight myself open history attorney film drive senior miss million.,8.1,25x63x86,Davis-Brooks,White,11,3,1
P542790,SKU-70418,Song Books,Fashion,R$ 192.44,R$ 231.86,17%,Those citizen receive back country card yeah game wind play music deep.,2.9,76x15x49,Miller LLC,Green,7,66,0
P434741,SKU-48367,Move Books,Electronics,R$ 647.45,R$ 1198.98,46%,Meet hold prepare manager rest matter understand mother pay build head suddenly civil tough yourself paper.,7.3,62x41x49,"Cardenas, Moore and Montgomery",Gray,6,310,1
P753014,SKU-33920,Enter Sports,Sports,R$ 629.55,R$ 1210.68,48%,Campaign have on away eat sense listen interest exist career blue name by inside chance raise modern.,6.2,68x90x72,Gonzalez-Jenkins,Red,6,70,1
P53566,SKU-14580,Work Books,Sports,R$ 368.65,R$ 392.18,6%,Law by piece too third stand owner board allow expert which early minute heavy.,9.6,64x77x24,"Yoder, Gomez and Wade",Black,12,31,0
P971724,SKU-33335,Store Electronics,Books,R$ 617.49,R$ 718.01,14%,Main senior year total school unit compare conference leader.,2.5,68x79x97,Scott LLC,Blue,10,33,0
P29422,SKU-89248,Economic Fashion,Electronics,R$ 1422.96,R$ 1617.0,12%,Guy rise month at news visit arrive box resource.,7.1,33x21x97,Chung-Hughes,White,13,26,1
P873726,SKU-24612,Edge Electronics,Sports,R$ 1031.96,R$ 1258.49,18%,Experience likely check different region bed report per land job white analysis.,1.7,15x32x83,Lewis LLC,Blue,21,6,1
P218963,SKU-59918,Find Books,Electronics,R$ 457.12,R$ 662.49,31%,Benefit move season analysis tend stage may stuff Mrs stuff bar Mrs.,4.1,68x47x50,Henderson and Sons,White,12,445,1
P587683,SKU-94553,On Sports,Sports,R$ 1268.65,R$ 1605.88,21%,Tough sit mention factor approach thank certainly audience rather sort effort high officer.,4.3,16x79x27,"White, Jackson and Robertson",White,18,43,1
P906849,SKU-71484,The Home,Home & Kitchen,R$ 1050.57,R$ 1591.77,34%,Civil soon type civil member reality war a letter still enough plan very act a.,7.2,82x73x66,Campbell PLC,Yellow,7,497,0
P742692,SKU-30529,Effort Home,Books,R$ 932.97,R$ 1435.34,35%,Help various experience your prevent ago cut without official how discuss.,0.5,91x99x57,Ross LLC,Green,7,459,1
P243089,SKU-89508,Magazine Books,Sports,R$ 1059.43,R$ 1231.89,14%,Show least feel seven budget skill kitchen long night method also pretty not when.,2.2,52x32x11,Clark PLC,White,20,496,1
P661435,SKU-94132,Score Electronics,Home & Kitchen,R$ 464.75,R$ 761.88,39%,Newspaper friend out several peace including since power far each better she partner mean drive describe girl foreign.,6.4,41x51x11,Shields-Williams,Yellow,10,124,0
P752221,SKU-89281,Street Sports,Electronics,R$ 383.22,R$ 660.73,42%,Despite like positive popular size development reflect our finally yet term already analysis top piece western foot.,1.5,30x41x56,Smith PLC,Yellow,6,134,1
P788265,SKU-95212,Back Home,Fashion,R$ 1556.37,R$ 1788.93,13%,Wrong focus wall number street remember crime forward fund one decade end least city site either key.,6.5,12x38x82,Jackson Inc,Red,21,483,1
P355605,SKU-93699,Southern Fashion,Fashion,R$ 561.56,R$ 738.89,24%,Kind low nation boy figure skill couple light site order project whose simple far.,5.9,54x61x46,Watson Ltd,Blue,14,169,0
P701861,SKU-55375,Reflect Fashion,Electronics,R$ 917.8,R$ 1311.15,30%,According room part lay game agree strong above father product bed three option expert PM land because.,9.3,42x73x73,Young Inc,Black,17,40,1
P883337,SKU-90726,Including Fashion,Home & Kitchen,R$ 943.74,R$ 1780.64,47%,Audience his although phone yourself big make alone I it message election edge.,6.6,74x94x87,"Jones, Lee and Parker",Green,12,163,1
P345341,SKU-67566,Miss Sports,Home & Kitchen,R$ 1238.71,R$ 1588.09,22%,Risk dark three moment no nation summer exactly tend analysis or opportunity forget apply left story.,6.4,66x41x90,Martinez Inc,Red,9,126,1
P268839,SKU-69450,Type Sports,Books,R$ 82.93,R$ 87.3,5%,Letter when reduce help mention sit nothing father traditional age late use still image box toward behavior sea shoulder.,2.7,80x74x97,"West, Lopez and Fowler",White,23,319,0
P671804,SKU-44276,Tend Electronics,Home & Kitchen,R$ 898.22,R$ 1548.65,42%,Summer up clearly much increase the write director learn show news thousand style region decision manage Democrat.,9.8,54x13x68,Garcia LLC,Blue,8,96,1
P711650,SKU-39994,Impact Sports,Books,R$ 302.32,R$ 387.59,22%,Firm speak television most he since picture sit offer will religious range gas participant couple city general.,1.5,98x74x37,Johnston-Drake,Red,12,411,0
P416587,SKU-35721,Window Home,Fashion,R$ 311.48,R$ 331.36,6%,Understand art catch less cover tough environmental whom couple.,2.3,24x17x19,Rogers-Jackson,Blue,21,432,1
P906558,SKU-56498,Area Home,Fashion,R$ 1672.31,R$ 1817.73,8%,Around minute research way impact sister beautiful size instead happen animal quality agreement number unit offer probably hour stage.,2.1,98x32x32,"Hudson, Macias and Mcmahon",Black,14,387,0
P831092,SKU-60143,East Sports,Books,R$ 695.11,R$ 827.51,16%,Pay if Democrat media still radio drop natural thought mean whatever fact range over she song responsibility church he.,4.3,72x89x29,Avila-Porter,White,23,396,1
P587045,SKU-95933,Him Fashion,Books,R$ 105.05,R$ 114.19,8%,Know baby perform maintain myself walk mind easy while officer support all rock cost blood always religious safe.,5.1,48x99x23,"White, Johnson and Hayden",Red,18,127,1
P690080,SKU-69601,Ok Electronics,Sports,R$ 1018.54,R$ 1997.14,49%,Series fight join sport enjoy sometimes far machine either statement better process ten why statement who.,9.9,50x21x93,Burnett PLC,Green,8,168,1
P79429,SKU-93729,Only Fashion,Fashion,R$ 1171.42,R$ 1541.34,24%,Left financial say despite onto answer rich same there.,8.1,57x46x78,Hardy Group,Black,19,305,0
P469752,SKU-15577,Wind Sports,Books,R$ 951.82,R$ 1252.39,24%,Method middle kid recognize kid discuss never no small social its may item state a consider room.,8.8,99x78x77,Guzman Inc,White,19,186,0
P933456,SKU-41925,Image Fashion,Sports,R$ 95.94,R$ 145.37,34%,Develop month since give successful record group head watch.,1.7,70x21x76,"Hale, Smith and Rogers",Blue,15,381,1
P87879,SKU-38135,Night Home,Fashion,R$ 1234.93,R$ 1691.68,27%,Fear find indeed machine son fire east later value your join attention security share clear gas dog.,8.2,37x61x58,"Garcia, Maxwell and Hicks",Gray,18,466,0
P871782,SKU-52345,Pay Books,Sports,R$ 49.11,R$ 76.74,36%,Do live example pass source provide raise door population population focus from commercial probably law son stop.,4.9,17x74x79,Wilson-Moreno,White,6,493,0
P69711,SKU-33259,Board Sports,Electronics,R$ 1377.72,R$ 1743.95,21%,Song building lead girl maintain teacher carry let foreign.,7.1,39x90x78,Rodriguez-Mcclain,Green,6,59,1
P177916,SKU-86751,All Fashion,Sports,R$ 671.6,R$ 839.5,20%,Try benefit bring major value today bank Republican leave near eight country.,3.8,92x90x85,Simmons and Sons,Yellow,8,31,0
P226933,SKU-20624,Wide Books,Books,R$ 752.11,R$ 1274.76,41%,Us guess our house to happy until several admit author any could eat environment money process understand analysis forget middle.,6.9,32x75x14,Petersen-Harrison,Yellow,9,223,0
P331581,SKU-53172,Old Sports,Home & Kitchen,R$ 1253.44,R$ 1843.29,32%,Condition experience popular final protect travel receive yard mean memory hope.,2.2,97x76x76,Anderson-Jackson,Black,10,299,1
P853285,SKU-24836,Citizen Electronics,Home & Kitchen,R$ 967.13,R$ 1465.35,34%,Store mind old deep strategy college off deep because arm office laugh fine sing prove look.,1.2,21x41x33,Anderson-Kelly,Gray,10,335,0
P837252,SKU-31909,Food Fashion,Home & Kitchen,R$ 671.44,R$ 839.3,20%,One away watch across community seek of sister discover.,2.4,59x10x66,Crawford-Torres,Yellow,20,306,1
P901853,SKU-36044,Window Home,Sports,R$ 281.35,R$ 334.94,16%,Dinner floor poor significant million tend expert board read newspaper boy Republican cause both light night threat stay realize.,8.0,91x36x59,Sanders Group,White,24,295,1
P611851,SKU-42849,Father Fashion,Home & Kitchen,R$ 873.64,R$ 1480.74,41%,Deep hand report before like development mean price those couple since late thousand show speech system all help.,5.5,66x47x34,Porter-Hale,Gray,21,220,1
P255152,SKU-25443,Cultural Sports,Home & Kitchen,R$ 256.12,R$ 502.19,49%,Education traditional couple enter tell indicate everyone development particular.,1.5,15x64x86,Wilson Ltd,Red,10,326,0
P721496,SKU-97871,Body Electronics,Sports,R$ 1025.59,R$ 1281.99,20%,Course trade operation can reflect nature establish game candidate six half idea street lawyer hour star over attorney.,7.4,75x21x54,Diaz LLC,Blue,20,92,1
P425953,SKU-96171,Yard Fashion,Home & Kitchen,R$ 1032.31,R$ 1985.21,48%,Design art father community marriage federal federal administration six manager avoid social discussion quite practice.,7.4,98x39x71,Stephenson-Gibson,Green,22,487,1
P908983,SKU-72547,Role Electronics,Books,R$ 907.59,R$ 965.52,6%,Election dark employee country describe much themselves all compare camera ready number forget conference staff simply.,6.0,71x86x20,"Velez, Parker and Browning",Red,21,121,0
P870972,SKU-62769,Threat Books,Home & Kitchen,R$ 341.92,R$ 481.58,29%,Woman leave middle lot none wind medical store color rich audience black history.,5.3,39x88x45,Lopez-Cobb,Blue,13,74,0
P66485,SKU-7873,Goal Books,Books,R$ 254.14,R$ 302.55,16%,Decide fact field when mouth create audience strong catch bag ever up continue old person big hour increase social election prove.,8.0,54x76x68,Cooley-Lane,Blue,14,465,0
P558383,SKU-31073,Mouth Books,Electronics,R$ 1345.52,R$ 1546.57,13%,Race reality story soldier single top good season determine professional walk high whatever will newspaper organization method third behind.,5.4,13x90x92,Young and Sons,Blue,8,238,0
P308094,SKU-17394,Remain Home,Electronics,R$ 547.41,R$ 1032.85,47%,Message rock join provide trade war at son both form maintain build power medical listen contain policy approach walk charge.,5.0,22x62x57,Pierce Ltd,Red,22,152,1
P274860,SKU-90382,Learn Sports,Sports,R$ 634.53,R$ 834.91,24%,Either someone lay raise figure detail minute economic staff continue for performance visit accept federal lot these card describe.,3.2,37x19x65,"Howard, Lowe and Nielsen",Red,21,74,0
P463061,SKU-38899,Goal Home,Books,R$ 306.42,R$ 387.87,21%,Whom beyond pretty man feel garden century school tell cost on animal health center both.,8.6,36x35x89,Stein Group,White,16,355,0
P366610,SKU-47715,Win Home,Electronics,R$ 765.03,R$ 1214.33,37%,Few recognize serious represent choice everyone put science begin allow reason space another pick even human most near government.,1.8,78x37x37,Hull-Forbes,Blue,24,48,1
P973369,SKU-94608,Democrat Fashion,Electronics,R$ 829.79,R$ 942.94,12%,Left red capital your past pretty lot fine fast anything deep billion blood effort common.,6.8,29x36x46,Kemp PLC,Green,13,325,1
P608939,SKU-26889,Hospital Books,Home & Kitchen,R$ 1187.91,R$ 1319.9,10%,Sea animal middle tend if open somebody sit happen bit truth Republican central.,1.0,14x57x23,"Smith, Trevino and Scott",White,12,432,1
P301940,SKU-10338,Enter Home,Fashion,R$ 693.22,R$ 1136.43,39%,Up security true tough big eight significant art send way course spring.,2.1,10x46x61,Garza-Baldwin,Blue,22,3,0
